iter	Passed	Remaining
403	17054	25159
404	17084	25099
405	17112	25036
406	17140	24973
407	17167	24910
408	17199	24853
409	17232	24797
410	17267	24746
411	17303	24695
412	17336	24641
413	17364	24578
414	17398	24526
415	17430	24470
416	17461	24413
417	17491	24354
418	17521	24295
419	17548	24234
420	17578	24175
421	17611	24122
422	17646	24071
423	17681	24020
424	17718	23972
425	17756	23925
426	17791	23874
427	17822	23818
428	17851	23760
429	17881	23703
430	17909	23643
431	17937	23584
432	17965	23524
433	18002	23477
434	18039	23429
435	18072	23377
436	18107	23328
437	18140	23276
438	18176	23227
439	18207	23173
440	18237	23117
441	18265	23058
442	18293	23000
443	18319	22940
444	18345	22880
445	18372	22821
446	18400	22763
447	18427	22705
448	18454	22647
449	18484	22592
450	18511	22533
451	18537	22474
452	18563	22416
453	18589	22356
454	18616	22298
455	18644	22242
456	18668	22181
457	18696	22125
458	18722	22067
459	18748	22009
460	18773	21950
461	18800	21893
462	18826	21835
463	18853	21779
464	18878	21720
465	18905	21664
466	18930	21606
467	18957	21549
468	18986	21496
469	19018	21446
470	19054	21401
471	19088	21352
472	19121	21304
473	19152	21253
474	19181	21200
475	19213	21150
476	19246	21102
477	19276	21050
478	19303	20996
479	19331	20942
480	19358	20887
481	19386	20834
482	19413	20780
483	19441	20726
484	19467	20671
485	19500	20623
486	19531	20574
487	19562	20525
488	19594	20476
489	19625	20426
490	19656	20377
491	19686	20327
492	19716	20276
493	19747	20227
494	19778	20178
495	19805	20125
496	19835	20075
497	19869	20029
498	19903	19983
499	19937	19937
500	19971	19891
501	20007	19848
502	20041	19802
503	20077	19758
504	20111	19713
505	20142	19664
506	20176	19619
507	20209	19572
508	20240	19524
509	20274	19478
510	20305	19431
511	20337	19384
512	20369	19337
513	20399	19287
514	20429	19239
515	20460	19192
516	20493	19145
517	20525	19099
518	20558	19053
519	20596	19012
520	20636	18972
521	20671	18929
522	20707	18886
523	20744	18843
524	20780	18801
525	20814	18756
526	20845	18709
